id,label
0,0
1,4
2,5
3,6
4,9
5,6
6,6
7,1
8,5
9,4
10,9
11,0
12,7
13,9
14,5
15,5
16,0
17,8
18,5
19,4
20,0
21,2
22,4
23,3
24,2
25,8
26,6
27,2
28,2
29,0
30,1
31,5
32,2
33,9
34,8
35,6
36,1
37,8
38,9
39,2
40,6
41,9
42,3
43,1
44,4
45,8
46,2
47,7
48,5
49,9
50,4
51,9
52,9
53,7
54,2
55,6
56,8
57,7
58,5
59,2
60,5
61,4
62,4
63,5
64,7
65,4
66,1
67,4
68,4
69,4
70,4
71,0
72,2
73,3
74,7
75,2
76,2
77,3
78,2
79,3
80,9
81,9
82,0
83,7
84,2
85,3
86,7
87,4
88,5
89,6
90,7
91,1
92,2
93,5
94,3
95,9
96,5
97,5
98,8
99,2
100,2
101,1
102,4
103,2
104,9
105,9
106,5
107,0
108,4
109,2
110,9
111,3
112,6
113,7
114,5
115,9
116,2
117,0
118,9
119,4
120,9
121,6
122,5
123,9
124,9
125,5
126,9
127,1
128,5
129,7
130,1
131,9
132,4
133,5
134,5
135,8
136,9
137,6
138,9
139,2
140,8
141,6
142,4
143,3
144,2
145,7
146,6
147,0
148,0
149,8
150,6
151,1
152,4
153,6
154,2
155,2
156,2
157,4
158,4
159,9
160,0
161,8
162,2
163,5
164,4
165,1
166,7
167,4
168,4
169,0
170,0
171,8
172,4
173,6
174,9
175,2
176,4
177,0
178,4
179,2
180,3
181,4
182,7
183,3
184,9
185,2
186,7
187,5
188,9
189,9
190,3
191,0
192,8
193,5
194,4
195,0
196,7
197,2
198,4
199,8
200,7
201,1
202,1
203,8
204,9
205,6
206,5
207,9
208,6
209,7
210,6
211,4
212,5
213,6
214,7
215,9
216,7
217,3
218,0
219,6
220,7
221,0
222,8
223,2
224,1
225,5
226,9
227,6
228,2
229,0
230,9
231,0
232,5
233,7
234,2
235,0
236,6
237,9
238,9
239,7
240,0
241,0
242,8
243,9
244,5
245,7
246,7
247,8
248,4
249,4
250,8
251,1
252,5
253,5
254,9
255,3
256,8
257,9
258,1
259,3
260,2
261,9
262,4
263,9
264,2
265,9
266,3
267,0
268,5
269,1
270,3
271,7
272,0
273,7
274,1
275,5
276,9
277,9
278,2
279,0
280,3
281,0
282,8
283,4
284,9
285,5
286,3
287,5
288,0
289,5
290,3
291,2
292,0
293,3
294,7
295,2
296,3
297,2
298,3
299,7
300,2
301,0
302,8
303,6
304,4
305,9
306,7
307,7
308,6
309,0
310,6
311,4
312,0
313,4
314,2
315,6
316,2
317,9
318,9
319,5
320,9
321,7
322,1
323,5
324,7
325,0
326,7
327,3
328,0
329,8
330,6
331,7
332,7
333,8
334,6
335,7
336,6
337,7
338,1
339,1
340,4
341,7
342,1
343,3
344,9
345,0
346,5
347,1
348,7
349,7
350,6
351,4
352,4
353,2
354,2
355,2
356,9
357,9
358,2
359,5
360,0
361,3
362,4
363,4
364,8
365,2
366,4
367,5
368,7
369,2
370,3
371,1
372,2
373,0
374,4
375,0
376,0
377,4
378,2
379,9
380,4
381,8
382,5
383,2
384,2
385,4
386,1
387,6
388,2
389,4
390,8
391,2
392,7
393,0
394,3
395,2
396,4
397,9
398,3
399,9
400,9
401,1
402,8
403,8
404,4
405,8
406,2
407,9
408,7
409,9
410,8
411,3
412,4
413,6
414,2
415,4
416,7
417,7
418,8
419,6
420,0
421,6
422,6
423,9
424,8
425,2
426,4
427,2
428,2
429,5
430,1
431,2
432,8
433,1
434,3
435,4
436,0
437,4
438,3
439,8
440,7
441,6
442,8
443,6
444,6
445,0
446,1
447,7
448,5
449,4
450,5
451,6
452,7
453,0
454,2
455,8
456,8
457,8
458,4
459,1
460,8
461,4
462,2
463,4
464,4
465,9
466,2
467,2
468,0
469,5
470,5
471,0
472,6
473,0
474,2
475,5
476,5
477,0
478,3
479,2
480,8
481,0
482,0
483,4
484,5
485,4
486,9
487,9
488,5
489,7
490,2
491,5
492,9
493,4
494,0
495,9
496,2
497,2
498,9
499,0
500,1
501,2
502,7
503,2
504,6
505,0
506,2
507,7
508,6
509,3
510,8
511,2
512,5
513,2
514,4
515,6
516,2
517,2
518,4
519,6
520,8
521,4
522,7
523,2
524,6
525,2
526,3
527,4
528,3
529,4
530,3
531,4
532,6
533,4
534,2
535,4
536,2
537,6
538,4
539,4
540,3
541,4
542,4
543,6
544,2
545,8
546,3
547,4
548,5
549,4
550,9
551,9
552,7
553,9
554,5
555,5
556,2
557,4
558,3
559,8
560,0
561,5
562,3
563,8
564,8
565,1
566,1
567,3
568,4
569,7
570,3
571,7
572,4
573,7
574,4
575,7
576,0
577,4
578,8
579,1
580,3
581,9
582,0
583,8
584,9
585,5
586,9
587,2
588,6
589,7
590,9
591,1
592,2
593,0
594,3
595,6
596,7
597,0
598,1
599,9
600,8
601,7
602,2
603,9
604,9
605,4
606,1
