id,label
0,0
1,4
2,3
3,6
4,9
5,6
6,6
7,8
8,6
9,4
10,8
11,4
12,7
13,9
14,5
15,7
16,0
17,8
18,5
19,2
20,0
21,6
22,3
23,5
24,7
25,8
26,3
27,2
28,0
29,0
30,1
31,5
32,2
33,9
34,8
35,2
36,1
37,8
38,9
39,6
40,2
41,8
42,2
43,1
44,0
45,1
46,2
47,7
48,5
49,9
50,4
51,1
52,0
53,7
54,2
55,3
56,8
57,7
58,5
59,8
60,7
61,6
62,2
63,4
64,9
65,0
66,1
67,0
68,8
69,4
70,3
71,2
72,7
73,3
74,9
75,8
76,7
77,3
78,2
79,3
80,1
81,1
82,0
83,2
84,2
85,3
86,7
87,2
88,8
89,3
90,3
91,3
92,0
93,3
94,3
95,9
96,5
97,3
98,8
99,2
100,0
101,1
102,3
103,0
104,8
105,7
106,0
107,0
108,4
109,2
110,9
111,3
112,6
113,4
114,5
115,1
116,2
117,0
118,7
119,4
120,2
121,6
122,5
123,9
124,9
125,5
126,9
127,3
128,5
129,7
130,1
131,9
132,2
133,7
134,3
135,8
136,0
137,3
138,7
139,2
140,8
141,3
142,2
143,3
144,2
145,7
146,7
147,8
148,0
149,8
150,2
151,1
152,2
153,3
154,4
155,7
156,2
157,0
158,4
159,9
160,0
161,8
162,2
163,5
164,4
165,1
166,3
167,8
168,4
169,2
170,8
171,8
172,4
173,3
174,9
175,0
176,2
177,0
178,4
179,2
180,2
181,5
182,7
183,5
184,7
185,2
186,7
187,4
188,8
189,3
190,2
191,0
192,9
193,5
194,3
195,0
196,7
197,3
198,2
199,8
200,4
201,8
202,9
203,8
204,9
205,3
206,7
207,2
208,2
209,2
210,6
211,2
212,3
213,5
214,7
215,9
216,5
217,7
218,0
219,6
220,7
221,0
222,9
223,0
224,1
225,4
226,1
227,5
228,2
229,0
230,9
231,2
232,2
233,4
234,2
235,0
236,6
237,6
238,1
239,7
240,0
241,2
242,8
243,9
244,5
245,1
246,7
247,8
248,0
249,2
250,6
251,6
252,2
253,3
254,9
255,6
256,8
257,9
258,1
259,3
260,4
261,9
262,4
263,9
264,4
265,9
266,0
267,1
268,5
269,1
270,3
271,7
272,0
273,2
274,1
275,8
276,0
277,1
278,2
279,9
280,3
281,2
282,0
283,3
284,9
285,7
286,9
287,5
288,0
289,5
290,5
291,2
292,0
293,6
294,7
295,2
296,4
297,4
298,5
299,7
300,9
301,8
302,9
303,6
304,4
305,9
306,9
307,7
308,2
309,0
310,5
311,5
312,0
313,8
314,9
315,7
316,2
317,9
318,2
319,9
320,5
321,3
322,1
323,8
324,6
325,0
326,7
327,6
328,8
329,8
330,3
331,9
332,7
333,1
334,2
335,3
336,2
337,7
338,1
339,1
340,4
341,9
342,1
343,6
344,0
345,0
346,5
347,0
348,3
349,1
350,3
351,4
352,4
353,2
354,2
355,2
356,9
357,9
358,2
359,7
360,8
361,7
362,6
363,3
364,8
365,2
366,6
367,3
368,7
369,0
370,2
371,4
372,5
373,0
374,3
375,8
376,0
377,4
378,2
379,8
380,6
381,8
382,2
383,5
384,2
385,2
386,1
387,3
388,3
389,4
390,8
391,2
392,7
393,0
394,3
395,3
396,4
397,9
398,3
399,0
400,9
401,1
402,0
403,8
404,6
405,8
406,1
407,9
408,5
409,8
410,8
411,6
412,4
413,4
414,4
415,3
416,4
417,9
418,8
419,6
420,0
421,2
422,4
423,1
424,8
425,4
426,2
427,0
428,0
429,2
430,1
431,3
432,0
433,1
434,6
435,6
436,2
437,6
438,5
439,0
440,7
441,2
442,8
443,5
444,6
445,0
446,1
447,7
448,5
449,4
450,1
451,3
452,7
453,0
454,0
455,8
456,8
457,8
458,0
459,4
460,0
461,4
462,2
463,4
464,4
465,9
466,2
467,2
468,0
469,9
470,3
471,0
472,4
473,0
474,3
475,2
476,5
477,2
478,4
479,2
480,8
481,0
482,4
483,3
484,3
485,2
486,9
487,8
488,3
489,9
490,8
491,5
492,9
493,6
494,8
495,1
496,2
497,2
498,0
499,2
500,9
501,9
502,4
503,2
504,3
505,8
506,2
507,7
508,3
509,2
510,0
511,2
512,5
513,7
514,8
515,7
516,2
517,8
518,8
519,4
520,8
521,5
522,5
523,2
524,2
525,2
526,4
527,4
528,2
529,2
530,3
531,5
532,3
533,6
534,4
535,5
536,8
537,3
538,2
539,6
540,2
541,2
542,2
543,3
544,2
545,8
546,3
547,4
548,5
549,6
550,3
551,9
552,3
553,9
554,1
555,5
556,2
557,6
558,6
559,8
560,8
561,5
562,3
563,8
564,8
565,1
566,6
567,6
568,6
569,7
570,4
571,7
572,3
573,7
574,3
575,7
576,0
577,2
578,8
579,1
580,3
581,8
582,8
583,8
584,9
585,4
586,5
587,5
588,6
589,3
590,9
591,1
592,1
593,0
594,2
595,6
596,7
597,8
598,1
599,8
600,8
601,4
602,2
603,1
604,8
605,6
606,1
